Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
25-January-2019,52.10,52.15,48.30,49.30,49.456470580139960227,3197194,4102,158121931.00,188641,5.90,3.85,-2.80
24-January-2019,51.80,52.55,51.50,52.10,52.068744296779743717,1799422,2118,93693644.00,931837,51.79,1.05,0.30
23-January-2019,51.55,52.65,51.20,51.80,51.918760033559142925,1184774,1959,61511997.00,101106,8.53,1.45,0.25
22-January-2019,49.00,52.00,49.00,51.20,50.751763377111686554,2193093,3325,111303337.00,258586,11.79,3.00,2.20
21-January-2019,50.70,51.20,49.40,49.95,50.276559118542719520,2794191,2569,140482309.00,113037,4.05,1.80,-0.75
18-January-2019,51.55,52.00,50.10,50.75,50.931560889978790082,1838291,2103,93627030.00,219855,11.96,1.90,-0.80
17-January-2019,49.75,51.25,49.25,50.80,50.116037715239197963,1693639,2068,84878476.00,173627,10.25,2.00,1.05
16-January-2019,50.05,50.45,49.35,49.75,50.045198068678234761,739390,948,37002919.00,92436,12.50,1.10,-0.30
15-January-2019,49.90,51.20,49.90,50.35,50.708462094652481149,2468715,1944,125184741.00,830969,33.66,1.30,0.45
14-January-2019,50.20,50.35,49.40,49.50,49.756193639202920863,909320,838,45244302.00,43751,4.81,0.95,-0.70
11-January-2019,50.95,50.95,49.80,50.20,50.339398653979223503,453782,752,22843113.00,94500,20.82,1.15,-0.75
10-January-2019,50.60,50.95,50.20,50.50,50.542481273935916064,408121,664,20627448.00,93011,22.79,0.75,-0.10
9-January-2019,52.00,52.00,50.45,51.00,51.231663584973282940,982144,1752,50316871.00,168730,17.18,1.55,-1.00
8-January-2019,50.15,52.60,49.75,51.50,51.336675052425291814,2039569,3651,104704691.00,169336,8.30,2.85,1.35
7-January-2019,50.45,50.80,49.55,50.35,50.134685516210453549,1816914,1635,91090412.00,67822,3.73,1.25,-0.10
4-January-2019,50.00,50.65,49.70,49.95,50.010139934103988414,1659281,1771,82980875.00,75995,4.58,0.95,-0.05
3-January-2019,50.10,51.00,48.85,50.40,50.306663830676458296,1071936,1557,53925524.00,64865,6.05,2.15,0.30
2-January-2019,50.50,51.10,50.25,50.65,50.717046960179180017,804554,1136,40804603.00,88138,10.95,0.85,0.15
1-January-2019,50.80,51.10,50.40,50.70,50.857013172667473592,1186396,1246,60336557.00,157199,13.25,0.70,-0.10
31-December-2018,50.60,51.25,50.50,50.90,50.963440624583746900,930924,1085,47443090.00,75500,8.11,0.75,0.30
28-December-2018,51.35,51.65,50.50,50.85,51.272160234860246803,1180617,1664,60532784.00,94548,8.01,1.15,-0.50
27-December-2018,51.20,52.00,51.05,51.30,51.347134672322442523,1327021,1682,68138726.00,364327,27.45,0.95,0.10
26-December-2018,50.50,51.75,49.55,50.75,50.318363286706110874,1656686,2234,83361728.00,161326,9.74,2.20,0.25
24-December-2018,50.40,51.25,49.55,50.60,50.352881485448963942,1133287,3168,57064266.00,259067,22.86,1.70,0.20
21-December-2018,52.10,52.45,50.10,50.40,51.373737215775810840,1470758,2072,75558335.00,217957,14.82,2.35,-1.70
20-December-2018,52.70,52.70,51.60,51.95,51.909220587940710408,948497,1268,49235740.00,80216,8.46,1.10,-0.75
19-December-2018,53.45,53.65,52.10,52.65,53.001551875100735752,918244,1843,48668357.00,101925,11.10,1.55,-0.80
18-December-2018,52.20,52.95,51.80,52.65,52.479047440325350928,698077,1139,36634416.00,79597,11.40,1.15,0.45
17-December-2018,52.25,53.60,51.85,52.80,52.738155684284538310,982771,2040,51829530.00,112422,11.44,1.75,0.55
14-December-2018,51.90,52.90,51.25,52.15,52.204372787209150606,1824054,2463,95223595.00,90954,4.99,1.65,0.25
13-December-2018,53.90,54.00,50.00,51.80,52.689710333451280576,1964155,3444,103490758.00,231452,11.78,4.00,-2.10
12-December-2018,52.30,53.15,51.35,52.70,52.357677185423799187,1893031,2678,99114706.00,155625,8.22,1.80,0.40
11-December-2018,48.20,51.90,47.00,50.95,50.002515720816760721,4613787,6536,230700957.00,179828,3.90,4.90,2.75
10-December-2018,49.00,49.90,48.15,49.00,49.052458978255505085,1203569,2764,59038019.00,208955,17.36,1.75,0.00
7-December-2018,52.10,52.85,51.55,52.45,52.232569878225755568,919242,2396,48014372.00,133130,14.48,1.30,0.35
6-December-2018,53.05,53.85,49.80,52.00,51.561922247365322425,1791965,3523,92397160.00,222148,12.40,4.05,-1.05
5-December-2018,55.00,55.10,53.45,54.00,54.232774917398882721,1791138,3573,97138384.00,458226,25.58,1.65,-1.00
4-December-2018,57.75,58.00,55.40,56.15,56.840422069392804431,1465541,3956,83301969.00,284213,19.39,2.60,-1.60
3-December-2018,56.10,58.20,55.70,57.75,57.344087595757863445,2650174,5963,151971810.00,496425,18.73,2.50,1.65
30-November-2018,55.70,56.25,54.35,55.40,55.313543058311699360,2174435,4371,120275704.00,438709,20.18,1.90,-0.30
29-November-2018,54.95,57.30,54.55,55.45,55.951876112737110811,5629699,10562,314992221.00,927184,16.47,2.75,0.50
28-November-2018,50.80,54.80,49.20,54.30,52.460927947585425721,4255305,9260,223237249.00,785997,18.47,5.60,3.50
27-November-2018,50.35,51.20,50.10,50.45,50.675293795022373235,1196072,2677,60611300.00,283859,23.73,1.10,0.10
26-November-2018,48.00,50.90,48.00,50.45,50.083702241771468524,3954685,7754,198065266.00,739665,18.70,2.90,2.45
22-November-2018,46.30,47.90,46.25,47.50,47.085928614050683780,1231755,2440,57998328.00,189737,15.40,1.65,1.20
21-November-2018,47.05,47.45,46.00,46.40,46.843622905962715801,3047940,3237,142776552.00,227256,7.46,1.45,-0.65
20-November-2018,47.80,49.05,46.80,47.35,48.097299102131358623,2605615,3146,125323044.00,160434,6.16,2.25,-0.45
19-November-2018,47.70,48.25,46.55,47.45,47.174416228819422442,1546582,2189,72959103.00,243327,15.73,1.70,-0.25
16-November-2018,48.70,48.70,46.80,47.50,47.463543879204542860,2716526,3297,128935951.00,212347,7.82,1.90,-1.20
15-November-2018,49.05,49.85,48.25,48.65,49.040094201157122739,2554958,3062,125295381.00,244678,9.58,1.60,-0.40
14-November-2018,48.85,50.20,48.00,49.10,49.168962480957711051,2638207,3614,129717901.00,310834,11.78,2.20,0.25
13-November-2018,48.15,49.20,47.45,48.50,48.245746121360033962,3479119,3742,167852692.00,339389,9.76,1.75,0.35
12-November-2018,50.25,50.25,46.95,48.15,48.675258921318111844,1980621,3268,96407240.00,231270,11.68,3.30,-2.10
9-November-2018,49.65,50.90,49.25,49.95,50.165472071398352318,1139298,2386,57153422.00,186515,16.37,1.65,0.30
7-November-2018,49.35,50.25,49.30,49.65,49.738815808466209259,415676,1015,20675232.00,198100,47.66,0.95,0.30
6-November-2018,50.00,50.95,48.70,49.30,49.953171022836981516,1993915,3300,99602377.00,276352,13.86,2.25,-0.70
5-November-2018,49.20,50.95,48.65,50.25,49.968572464528076983,3127544,5580,156278909.00,354822,11.35,2.30,1.05
2-November-2018,50.20,52.75,48.75,49.90,50.845753120415518524,7959597,14972,404711704.00,1123448,14.11,4.00,-0.30
1-November-2018,46.00,51.55,45.00,50.20,48.844230128411632002,8483733,14206,414381407.00,2332156,27.49,6.55,4.20
31-October-2018,45.00,46.45,43.85,46.05,45.264944170490201070,5557903,11929,251578169.00,724214,13.03,2.60,1.05
30-October-2018,42.20,45.50,41.65,44.70,43.517895176439940991,6867521,12870,298860059.00,1058803,15.42,3.85,2.50
29-October-2018,35.45,43.90,34.40,42.15,39.621491282768567385,11201779,24440,443831189.00,1829225,16.33,9.50,6.70
26-October-2018,33.10,36.00,32.30,35.50,33.704043999366768630,3916420,4951,131999192.00,372492,9.51,3.70,2.40
25-October-2018,33.25,33.65,32.65,33.00,33.135996008688666909,2776030,2695,91986519.00,346776,12.49,1.00,-0.25
